Rank,Title,Issn
21261,Journal of Advanced Manufacturing Technology,"19853157, 22898107"
21262,Journal of Ancient History and Archaeology,2360266X
21263,Journal of Cellular Neuroscience and Oxidative Stress,21497222
21264,Journal of Chinese Mass Spectrometry Society,10042997
21265,Journal of Elementary Education,"23504803, 18554431"
21266,Journal of Language and Discrimination,"23972645, 23972637"
21267,Journal of Late Antiquity,"19396716, 19421273"
21268,Journal of Magnetics,12261750
21269,Journal of the Hellenic Veterinary Medical Society,17922720
21270,Journal of Visual Art Practice,14702029
21271,Jurnal Pengurusan,1272713
21272,"Laparoscopic, Endoscopic, and Robotic Surgery",24689009
21273,MFS - Modern Fiction Studies,"1080658X, 00267724"
21274,Novi Sad Journal of Mathematics,14505444
21275,Ochrona Srodowiska,12306169
21276,Photonics Russia,"2686844X, 19937296"
21277,Polish Journal of Sport and Tourism,"18991998, 20828799"
21278,Principia,"14144247, 18081711"
21279,Proceedings of Institution of Civil Engineers: Waste and Resource Management,"17476526, 17476534"
21280,Prometheus: Critical Studies in Innovation,"08109028, 14701030"
21281,Reference Series in Phytochemistry,"2511834X, 25118358"
21282,Revista Escola de Minas,3704467
21283,Scientific Journal of Silesian University of Technology. Series Transport,"24501549, 02093324"
21284,Shakespeare Studies,5829399
21285,Sigma Journal of Engineering and Natural Sciences,"13047205, 13047191"
21286,Sociological Bulletin,380229
21287,Topics in Clinical Nutrition,8835691
21288,Tribologie und Schmierungstechnik,7243472
21289,Turk Geriatri Dergisi,"13079948, 13042947"
21290,Vniversitas,"00419060, 20111711"
21291,Xi'an Jianzhu Keji Daxue Xuebao/Journal of Xi'an University of Architecture &amp; Technology,10067930
21292,"Zentralblatt fur Arbeitsmedizin, Arbeitsschutz und Ergonomie","21980713, 09442502"
21293,Adolescent Psychiatry,"22106766, 22106774"
21294,Analise Psicologica,8708231
21295,Angelaki - Journal of the Theoretical Humanities,"0969725X, 14692899"
21296,Arkivoc,"15517004, 15517012"
21297,Biomeditsinskaya Khimiya,"23106905, 23106972"
21298,Bulletin of the International Association for Paleodontology,18466273
21299,Canadian Historical Review,"17101093, 00083755"
21300,Canadian Journal of Latin American and Caribbean Studies,8263663
21301,Catedral Tomada,21690847
21302,Chinese Journal of Wildlife,23101490
21303,Colombian Journal of Anesthesiology,"24220248, 22562087"
21304,Cuadernos de Turismo,"19894635, 11397861"
21305,Discrete Mathematics and Applications,"15693929, 09249265"
21306,Doklady Physical Chemistry,"00125016, 16083121"
21307,Educational and Child Psychology,2671611
21308,European Journal of Anatomy,11364890
21309,European Review of Contract Law,"16149939, 16149920"
21310,"Gosudarstvo, Religiia, Tserkov' v Rossii i za Rubezhom/State, Religion and Church in Russia and Worldwide","20737211, 20737203"
21311,"gulf journal of oncology, The",20782101
21312,History of Religions,"15456935, 00182710"
21313,Hua xi kou qiang yi xue za zhi = Huaxi kouqiang yixue zazhi = West China journal of stomatology,10001182
21314,Indonesian Journal of Biotechnology,"20892241, 08538654"
21315,International Journal of Electronic Business,"14706067, 17415063"
21316,International Journal of Reasoning-based Intelligent Systems,"17550556, 17550564"
21317,Iraqi Journal of Applied Physics,"18132065, 23091673"
21318,Journal of Airport Management,"17501946, 17501938"
21319,Journal of Biological Research (Italy),"18268838, 22840230"
21320,Journal of Burma Studies,"2010314X, 1094799X"
21321,Journal of Global Business and Trade,"24704733, 19465130"
21322,Journal of Optoelectronics and Advanced Materials,14544164
21323,Journal of Research Administration,"25737104, 15391590"
21324,Journal of SAFOG,"09751920, 09748938"
21325,Journal of the Belgian Society of Radiology,25148281
21326,Journal of the Indian Mathematical Society,195839
21327,Law and Contemporary Problems,239186
21328,LEARNing Landscapes,19135688
21329,Mextesol Journal,23959908
21330,Neuropsychiatrie de l'Enfance et de l'Adolescence,"02229617, 17696615"
21331,New Zealand Sociology,0112921X
21332,Nutrire,"23167874, 15198928"
21333,Optics and Spectroscopy (English translation of Optika i Spektroskopiya),"0030400X, 15626911"
21334,Pacific Rim Property Research Journal,"14445921, 22016716"
21335,Palliative Medicine in Practice,"25450425, 25451359"
21336,Problems of Strength and Plasticity,18149146
21337,Psychoterapia,2394170
21338,Quality - Access to Success,15822559
21339,Revista Cartografica,"00802085, 26633981"
21340,"Russian Journal of Gastroenterology, Hepatology, Coloproctology","26586673, 13824376"
21341,Sante Publique,9953914
21342,Sibirskiy Psikhologicheskiy Zhurnal,"17267080, 24110809"
21343,Signa Vitae,"13345605, 1845206X"
21344,Sleep and Hypnosis,13021192
21345,Sociologisk Forskning,380342
21346,Southeast Asian Journal of Economics,"22868984, 24655120"
21347,Stanislavski Studies,"20544170, 20567790"
21348,Transactions on Energy Systems and Engineering Applications,27450120
21349,Tropical Journal of Natural Product Research,"26160692, 26160684"
21350,Voprosy Khimii i Khimicheskoi Tekhnologii,"03214095, 24137987"
21351,a/b: Auto/Biography Studies,21517290
21352,Advances in Electrical and Electronic Engineering,"18043119, 13361376"
21353,Agricultural Science Digest,"09760547, 0253150X"
21354,American Journal of Jurisprudence,"20496494, 00658995"
21355,Anthropologie (Czech Republic),3231119
21356,Archives of Design Research,"22882987, 12268046"
21357,Asia Pacific Law Review,10192557
21358,Asian Journal of Anesthesiology,2468824X
21359,Astrophysics,"15738191, 05717256"
21360,China Finance and Economic Review,"21965633, 20954638"
21361,Chinese Astronomy and Astrophysics,2751062
21362,Chinese Journal of Applied and Environmental Biology,1006687X
21363,Chinese Journal of Cardiology,2533758
21364,Comparative Critical Studies,"17500109, 17441854"
21365,Culture Crossroads,25009974
21366,"Engineering in Agriculture, Environment and Food",18818366
21367,Formation Emploi,"21070946, 07596340"
21368,Huagong Xuebao/CIESC Journal,4381157
21369,Indian Journal of Pure and Applied Physics,"09751041, 00195596"
21370,"Informacion, Cultura y Sociedad","15148327, 18511740"
21371,International Journal of Distributed Systems and Technologies,"19473540, 19473532"
21372,International Journal of Environmental Impacts,"23982640, 23982659"
21373,International Journal of Multiphysics,17509548
21374,International Journal of Signal and Imaging Systems Engineering,"17480698, 17480701"
21375,ISVS e-journal,"23202661, 27382222"
21376,Japan Agricultural Research Quarterly,213551
21377,"Journal of Criminological Research, Policy and Practice","2056385X, 20563841"
21378,Journal of Mechanical Engineering,18235514
21379,Landtechnik,238082
21380,Law and Humanities,"17521483, 17521491"
21381,"Law, Environment and Development Journal",17465893
21382,Medical Radiology and Radiation Safety,"10246177, 26189615"
21383,Nanjing Youdian Daxue Xuebao (Ziran Kexue Ban)/Journal of Nanjing University of Posts and Telecommunications (Natural Science),16735439
21384,Natural History Bulletin of the Siam Society,809462
21385,Neurophysiology,"15739007, 00902977"
21386,New Zealand Journal of Psychology,0112109X
21387,Note di Matematica,"11232536, 15900932"
21388,Paremia,"21721068, 11328940"
21389,Politique Europeenne,"16236297, 21052875"
21390,Poljoprivreda,13307142
21391,Popular Music,"14740095, 02611430"
21392,Praxema,"24089176, 23127899"
21393,Problemos,"13921126, 24246158"
21394,"Proceedings on Applied Botany, Genetics and Breeding","22278834, 26190982"
21395,Rehabilitace a Fyzikalni Lekarstvi,12112658
21396,Serie Correlacion Geologica,"15144186, 16669479"
21397,Studia Islamika,"23556145, 02150492"
21398,Studies in the Age of Chaucer,"19490755, 01902407"
21399,Trauma,"14770350, 14604086"
21400,Victorians,21660107
21401,WIT Transactions on Ecology and the Environment,"1746448X, 17433541"
21402,Acta Scientiarum - Biological Sciences,"16799283, 1807863X"
21403,Acta Silvatica et Lignaria Hungarica,"1787064X, 1786691X"
21404,Agenda,"2158978X, 10130950"
21405,American Imago,"10857931, 0065860X"
21406,American Journal of Comparative Law,0002919X
21407,Aramaic Studies,"17455227, 14778351"
21408,Archivaria,3186954
21409,Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,1671167X
21410,Beijing Youdian Xueyuan Xuebao/Journal of Beijing University of Posts And Telecommunications,10005145
21411,"Bijdragen tot de Taal-, Land- en Volkenkunde",62294
21412,Biomedical Instrumentation and Technology,8998205
21413,Carpathian Journal of Food Science and Technology,20666845
21414,Chinese Journal of Liquid Crystals and Displays,10072780
21415,Dance Research,2642875
21416,Dental Journal,"19783728, 24429740"
21417,Drug Metabolism Letters,"18740758, 18723128"
21418,East/West: Journal of Ukrainian Studies,22927956
21419,Eurasian Journal of Physics and Functional Materials,"26168537, 25229869"
21420,Fauna Norvegica,"15024873, 18915396"
21421,Folklor/Edebiyat,27916057
21422,Fortschritte der Neurologie Psychiatrie,"14393522, 07204299"
21423,Gayana - Botanica,"00165301, 07176643"
21424,General Dentistry,3636771
21425,Huazhong Keji Daxue Xuebao (Ziran Kexue Ban)/Journal of Huazhong University of Science and Technology (Natural Science Edition),16714512
21426,Ibersid,"2174081X, 18880967"
21427,Indian Journal of Finance,9738711
21428,Intellectual Discourse,"22895639, 01284878"
21429,International Journal of Environmental Health Engineering,22779183
21430,International Journal of Software Innovation,"21667179, 21667160"
21431,International Journal of Transport Economics,"03035247, 17242185"
21432,Iranian Journal of Pediatrics,"20082150, 20082142"
21433,Journal of Accessibility and Design for All,20137087
21434,Journal of Applied Rehabilitation Counseling,"00472220, 26397641"
21435,Journal of Bacteriology and Virology,15982467
21436,Journal of Biorheology,"18670474, 18670466"
21437,Journal of Combinatorial Mathematics and Combinatorial Computing,8353026
21438,"Journal of Design, Business and Society","20552106, 20552114"
21439,Journal of Jewish Thought and Philosophy,"1053699X, 1477285X"
21440,"Journal of Law, Religion and State","22126465, 22124810"
21441,Journal of Problem Based Learning in Higher Education,22460918
21442,Journal of Stratigraphy and Sedimentology Researches,"20087888, 24238007"
21443,Kathmandu University Medical Journal,"18122078, 18122027"
21444,Latin American Journal of Sedimentology and Basin Analysis,"18514979, 16697316"
21445,Mathematical Methods of Statistics,"19348045, 10665307"
21446,Modern Africa,"25707558, 23363274"
21447,Modern Chinese Literature and Culture,"15209857, 2328966X"
21448,Muqarnas,"09210326, 07322992"
21449,National Medical Journal of China,3762491
21450,Nursing,"03604039, 15388689"
21451,Open Biomedical Engineering Journal,18741207
21452,Petroleum and Coal,13377027
21453,Philip Roth Studies,"19405278, 15473929"
21454,Political Economy of Communication,23571705
21455,Political Science,"00323187, 20410611"
21456,Pteridines,"21954720, 09334807"
21457,Revista CES Psicologia,20113080
21458,Revista Colombiana de Ciencias Pecuarias,"22562958, 01200690"
21459,Revista Cuidarte,"22160973, 23463414"
21460,Scandinavian Psychoanalytic Review,1062301
21461,Science and Technologies: Oil and Oil Products Pipeline Transportation,"25419595, 22212701"
21462,Surgery,"18781764, 02639319"
21463,Transactions of the Korean Institute of Electrical Engineers,19758359
21464,Utrecht Journal of International and European Law,20535341
21465,World Art,"21500894, 21500908"
21466,Zeitschrift fur Europarechtliche Studien,1435439X
21467,Zeitschrift fur Sportpsychologie,"21906300, 16125010"
21468,Zhiwu Shengli Xuebao/Plant Physiology Journal,20951108
21469,Acta Scientiarum - Technology,"18078664, 18062563"
21470,"Acta Universitatis Carolinae, Geographica",3005402
21471,Advances in Mergers and Acquisitions,1479361X
21472,AGIT- Journal fur Angewandte Geoinformatik,"2509713X, 23649283"
21473,APOS Trends in Orthodontics,"23214600, 23211407"
21474,Applied Econometrics,"19937601, 24106445"
21475,ASEAN Journal of Chemical Engineering,"16554418, 26555409"
21476,Atelie Geografico,19821956
21477,Berichte uber Landwirtschaft,59080
21478,Canadian Journal of Law and Society,"08293201, 19110227"
21479,Crystallography Reports,"10637745, 1562689X"
21480,Cytology and Genetics,"00954527, 19349440"
21481,Desenvolvimento e Meio Ambiente,"21769109, 1518952X"
21482,"Economia, Sociedad y Territorio","14058421, 24486183"
21483,Ethnologia Fennica,3551776
21484,Forestry Ideas,13143905
21485,Frontiers in Health Informatics,26767104
21486,Genetics of Aquatic Organisms,"24591831, 25872265"
21487,Gerion,"02130181, 19883080"
21488,International History Review,7075332
21489,International Journal for Human Caring,"25782304, 10915710"
21490,International Journal of Business Continuity and Risk Management,"17582164, 17582172"
21491,International Journal of Construction Supply Chain Management,11790776
21492,International Journal of Practice-Based Learning in Health and Social Care,20516223
21493,International Journal of Vehicle Structures and Systems,"09753060, 09753540"
21494,International Journal of Web Engineering and Technology,"17419212, 14761289"
21495,Isegoria,"19888376, 11302097"
21496,Islamic Guidance and Counseling Journal,"26855909, 26141566"
21497,Journal of Beijing Institute of Technology (English Edition),10040579
21498,Journal of Energy Markets,"17563615, 17563607"
21499,Journal of Engineering Science and Technology Review,"17912377, 17919320"
21500,Journal of Intelligence Studies in Business,2001015X
21501,Journal of Modern Applied Statistical Methods,15389472
21502,Journal of Nuts,"23833416, 2383319X"
21503,Journal of Theoretical and Applied Information Technology,"18173195, 19928645"
21504,Journal of Transatlantic Studies,"17541018, 14794012"
21505,Journal of Tropical Pathology,"19808178, 03010406"
21506,Journal of Urban Regeneration and Renewal,"17529638, 17529646"
21507,Language Documentation and Conservation,19345275
21508,Leather and Footwear Journal,15834433
21509,Letters in Organic Chemistry,"15701786, 18756255"
21510,Lithosphere (Russian Federation),"16819004, 2500302X"
21511,Medecine/Sciences,"07670974, 19585381"
21512,Nuncius / Istituto e museo di storia della scienza,"03947394, 18253911"
21513,Pan African Medical Journal One Health,27072800
21514,Pharmacy Education,"14772701, 15602214"
21515,PISTES,14819384
21516,Proceedings of the IEEE International Conference on Properties and Applications of Dielectric Materials,-
21517,Psicologia Escolar e Educacional,"14138557, 21753539"
21518,Publicaciones de la Facultad de Educacion y Humanidades del Campus de Melilla,"25309269, 15774147"
21519,Revista Chilena de Infectologia,7161018
21520,Revista de Contabilidade e Organizacoes,19826486
21521,Revista de Investigaciones Veterinarias del Peru,"16099117, 16823419"
21522,Revista de Osteoporosis y Metabolismo Mineral,"21732345, 1889836X"
21523,Revista Enfermagem,1043552
21524,Revista Ingenieria de Construccion,"07162952, 07185073"
21525,Revista Materia,15177076
21526,Russian Journal of Forensic Medicine,"24118729, 24094161"
21527,ScienceRise: Pharmaceutical Science,"25194844, 25194852"
21528,"Smart Innovation, Systems and Technologies","21903026, 21903018"
21529,Strategic Analysis,9700161
21530,Technische Mechanik,2323869
21531,Theory and Practice of Meat Processing,"2414438X, 2414441X"
21532,West African Journal of Applied Ecology,8554307
21533,Zeitschrift fur Kristallographie - New Crystal Structures,"14337266, 21974578"
21534,Zeitschrift fur Romanische Philologie,"00498661, 18659063"
21535,Advances in Transportation Studies,18245463
21536,AFTE Journal,10489959
21537,AIB Studi,"22396152, 22809112"
21538,Archivo de Prehistoria Levantina,"19890508, 02103230"
21539,Argumenta,24652334
21540,AUS,"07187262, 0718204X"
21541,Bulletin of Hispanic Studies,"14753839, 14783398"
21542,Chimica Techno Acta,"24111414, 24095613"
21543,China Economist,16738837
21544,Chongqing Daxue Xuebao/Journal of Chongqing University,1000582X
21545,Computational Mathematics and Modeling,1046283X
21546,"Espacio, Tiempo y Educacion",23407263
21547,ETS Research Report Series,23308516
21548,Exchange,"1572543X, 01662740"
21549,Foundations of Management,"23005661, 20807279"
21550,Genetics and Molecular Research,16765680
21551,Health Biotechnology and Biopharma,25384414
21552,HiSTOReLo,2145132X
21553,Historia y Politica,"15750361, 1989063X"
21554,History of Philosophy and Logical Analysis,"26664275, 26664283"
21555,History of Science,"17538564, 00732753"
21556,Indian Law Review,"24730599, 24730580"
21557,Industrial Laboratory. Materials Diagnostics,"10286861, 25880187"
21558,Infektsionnye Bolezni,"17299225, 24149691"
21559,Information and Culture,"21663033, 21648034"
21560,International Journal of Data Mining and Bioinformatics,"17485681, 17485673"
21561,International Journal of Networking and Virtual Organisations,"14709503, 17415225"
21562,Iranian Journal of Medical Physics,"17357241, 1735160X"
21563,IUCrData,24143146
21564,Journal of Agricultural Extension,"24086851, 1119944X"
21565,Journal of Biopesticides,"22308385, 0974391X"
21566,Journal of Engineering Geology,"22877169, 12265268"
21567,Journal of Occupational Health and Epidemiology,"22520902, 22518096"
21568,Journal of Philosophical Theological Research,"17359791, 25382500"
21569,Journal of the History of the Behavioral Sciences,"00225061, 15206696"
21570,Journal of Time Use Research,26647958
21571,Methods and Objects of Chemical Analysis,"19910290, 24136166"
21572,Mexican Studies/Estudios Mexicanos,7429797
21573,Micro and Nanosystems,"18764037, 18764029"
21574,Mindanao Journal of Science and Technology,"24493686, 22440410"
21575,Natures Sciences Societes,"12401307, 17652979"
21576,Notulae Scientia Biologicae,20673264
21577,Oftalmologija. Vostochnaja Evropa,"24143642, 22260803"
21578,Onati Socio-Legal Series,20795971
21579,Open Ecology Journal,18742130
21580,Philologica Canariensia,23868635
21581,Postepy biochemii,325422
21582,Progress in Industrial Ecology,"14788764, 14768917"
21583,Psychotherapy and Politics International,"14769263, 15569195"
21584,Quadernos de Psicologia,"02113481, 20144520"
21585,Radical History Review,"15341453, 01636545"
21586,Relations Industrielles,"0034379X, 17038138"
21587,Semiconductors,"10637826, 10906479"
21588,Sports Orthopaedics and Traumatology,"0949328X, 18764339"
21589,Tempo,"00402982, 14782286"
21590,Tempo Social,1032070
21591,Teoria y Derecho,"18883443, 26956594"
21592,Waikato Journal of Education,23820373
21593,Zentralblatt fur Chirurgie,"14389592, 0044409X"
21594,Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases,10010939
21595,Zhonghua wei chang wai ke za zhi = Chinese journal of gastrointestinal surgery,16710274
21596,Adaptation,"17550645, 17550637"
21597,AgroLife Scientific Journal,"22855718, 22860126"
21598,Animal Nutrition and Feed Technology,"09722963, 0972181X"
21599,Annales de Biologie Clinique,"00033898, 19506112"
21600,Archiv fur Molluskenkunde,39284
21601,Boletin de la Real Academia Espanola,"02104822, 00650455"
21602,Cailiao Yanjiu Xuebao/Chinese Journal of Materials Research,10053093
21603,Canadian Journal of Educational Administration and Policy,12077798
21604,Ceska Gynekologie,12107832
21605,Chemija,2357216
21606,Cuadernos de Filologia Clasica,"11319070, 19882637"
21607,Current Cancer Therapy Reviews,"18756301, 15733947"
21608,Current Nanomaterials,"24054623, 24054615"
21609,Cyprus Turkish Journal of Psychiatry and Psychology,"13027840, 26678225"
21610,Development and Learning in Organizations,14777282
21611,DLSU Business and Economics Review,1167111
21612,Ecletica Quimica,1004670
21613,European State Aid Law Quarterly,"16195272, 21908184"
21614,Evidence Based Midwifery,"26338408, 14794489"
21615,Giornale italiano di nefrologia : organo ufficiale della Società italiana di nefrologia,"03935590, 17245990"
21616,Heterocycles,3855414
21617,Hippokratia,11084189
21618,Huagong Jinzhan/Chemical Industry and Engineering Progress,10006613
21619,Humanities and Social Sciences Letters,"23125659, 23124318"
21620,Iberoamericana - Nordic Journal of Latin American and Caribbean Studies,"00468444, 20024509"
21621,IEEE Electromagnetic Compatibility Magazine,"21622264, 21622272"
21622,InterCeram: International Ceramic Review,205214
21623,"International Journal of Agricultural Resources, Governance and Ecology",14624605
21624,International Journal of Applied Power Engineering,"22528792, 27222624"
21625,Investigaciones Geograficas,"24487279, 01884611"
21626,Iranian Journal of Medical Ethics and History of Medicine,27834840
21627,Irish Journal of Earth Sciences,"07901763, 20090064"
21628,Journal of Chinese Cinemas,"1750807X, 17508061"
21629,Journal of Computational and Theoretical Nanoscience,"15461955, 15461963"
21630,Journal of Dynamics and Control,16726553
21631,Journal of Food Science Education,15414329
21632,Journal of the Chemical Society of Pakistan,2535106
21633,Key Engineering Materials,"10139826, 16629795"
21634,King's Law Journal,"17578442, 09615768"
21635,Law Library Journal,239283
21636,Malaysian Construction Research Journal,"19853807, 25904140"
21637,Mathematics Magazine,"0025570X, 19300980"
21638,Medical Journal of Indonesia,"22528083, 08531773"
21639,Medijska Istrazivanja,13306928
21640,Messenger of Anesthesiology and Resuscitation,"20785658, 25418653"
21641,Methis,"17366852, 22284745"
21642,Metodoloski Zvezki,"18540031, 18540023"
21643,Missouri Journal of Mathematical Sciences,"08996180, 10852581"
21644,New Zealand Economic Papers,"00779954, 19434863"
21645,Post-Medieval Archaeology,"17458137, 00794236"
21646,Proceedings of Engineering and Technology Innovation,"2518833X, 24137146"
21647,Proceedings of the Institution of Civil Engineers: Civil Engineering,"17517672, 0965089X"
21648,PSICOLOGIA,"08742049, 21832471"
21649,Revista Espanola de Nutricion Humana y Dietetica,"21731292, 21745145"
21650,Sante Mentale au Quebec,"17083923, 03836320"
21651,Tanzania Journal of Health Research,18216404
21652,Thai Journal of Mathematics,16860209
21653,Theoretical Inquiries in Law,15653404
21654,Urologie,"27317072, 27317064"
21655,Verge: Studies in Global Asias,"23735058, 23735066"
21656,Wacana,"14112272, 24076899"
21657,WSEAS Transactions on Power Systems,"17905060, 2224350X"
21658,Zanry Reci,"23110759, 23110740"
21659,Zhongguo Xitu Xuebao/Journal of the Chinese Rare Earth Society,10004343
21660,Adalya,13012746
21661,Antichnaya Drevnost' i Srednie Veka,"26870398, 03204472"
21662,Architectural Design,38504
21663,Biopolymers and Cell,"19936842, 02337657"
21664,Bookbird: Journal of International Children's Literature,"19186983, 00067377"
21665,Congenital Heart Disease,"17470803, 1747079X"
21666,Current Drug Therapy,"15748855, 22123903"
21667,Current Orthopaedic Practice,"19417551, 19407041"
21668,Epidemiologiya i Vaktsinoprofilaktika,"20733046, 26190494"
21669,Estudios Demograficos y Urbanos,1867210
21670,Ethics and Global Politics,"16546369, 16544951"
21671,Fenmo Yejin Jishu/Powder Metallurgy Technology,10013784
21672,Grudnaya i Serdechno-Sosudistaya Khirurgiya,"02362791, 24108685"
21673,Health Education and Health Promotion,"25885715, 23452897"
21674,IJU Case Reports,2577171X
21675,Indian Journal of Agricultural Economics,195014
21676,Indian Journal of Natural Products and Resources,"09760512, 09760504"
21677,International Conference on Embedded Wireless Systems and Networks,25622331
21678,International Journal of Asian Christianity,"25424246, 25424238"
21679,International Journal of Electrical and Electronics Research,2347470X
21680,International Journal of Mechatronics and Applied Mechanics,"25594397, 25596497"
21681,Journal of Applied Data Sciences,27236471
21682,Journal of Cellular and Molecular Anesthesia,"24765120, 25382462"
21683,Journal of Higher Education Theory and Practice,21583595
21684,Journal of International Studies(Malaysia),"2289666X, 1823691X"
21685,Journal of Iron and Steel Research,10010963
21686,Journal of Islamic Thought and Civilization,"20750943, 25200313"
21687,Journal of Nature and Science of Medicine,"2589627X, 25896288"
21688,Journal of the History of the Neurosciences,"17445213, 0964704X"
21689,Landscapes,14929600
21690,Lecture Notes in Networks and Systems,"23673370, 23673389"
21691,Listy Cukrovarnicke a Reparske,12103306
21692,Moscow University Chemistry Bulletin,"00271314, 19350260"
21693,Osterreichische Zeitschrift fur Soziologie,10110070
21694,Palaeohispanica,"15785386, 26037637"
21695,Payesh,"20084536, 16807626"
21696,Pedagogika,13920340
21697,Philologia Estonica Tallinnensis,"25046624, 25046616"
21698,Phuket Marine Biological Center Research Bulletin,8581088
21699,Physikalische Medizin Rehabilitationsmedizin Kurortmedizin,"1439085X, 09406689"
21700,Psychiatria i Psychologia Kliniczna,16446313
21701,Psycholinguistics,"23091797, 24153397"
21702,Recherches en Didactiques des Sciences et des Technologies,21106460
21703,"Review of English Studies, The","14716968, 00346551"
21704,Review of Integrative Business and Economics Research,"24146722, 23041013"
21705,Review of Pacific Basin Financial Markets and Policies,"17936705, 02190915"
21706,Revista Direito GV,23176172
21707,Revista Latinoamericana de Quimica,3705943
21708,SAE International Journal of Transportation Cybersecurity and Privacy,"25721054, 25721046"
21709,SATS,"18697577, 16001974"
21710,Srednie Veka,1318780
21711,Sustentabilidade em Debate,"21777675, 21799067"
21712,Temenos,4971817
21713,Uludag Aricilik Dergisi,"13030248, 26875594"
21714,WSEAS Transactions on Fluid Mechanics,"2224347X, 17905087"
21715,Zeitschrift fur Philosophische Forschung,443301
21716,Acta Fytotechnica et Zootechnica,"13369245, 1335258X"
21717,Advances in Group Processes,8826145
21718,Afro-Asian Journal of Finance and Accounting,"17516455, 17516447"
21719,Annals of the Academy of Romanian Scientists: Series on Mathematics and its Applications,"20665997, 20666594"
21720,Anuario de Historia de la Iglesia,11330104
21721,Arab Journal of Plant Protection,"24125407, 0255982X"
21722,Asia Pacific Journal of Information Systems,"22885404, 22886818"
21723,Biblical Interpretation,"09272569, 15685152"
21724,Bulletin of Mathematical Analysis and Applications,18211291
21725,Carthaginensia,"02134381, 26053012"
21726,Catalan Journal of Linguistics,16956885
21727,Cell and Tissue Biology,"1990519X, 19905203"
21728,Cellular Therapy and Transplantation,"1867416X, 18668836"
21729,Chilean Journal of Agricultural and Animal Sciences,"07193882, 07193890"
21730,Chinese Journal of Medical Genetics,10039406
21731,Chinese Medicine and Culture,"25899473, 25899627"
21732,Chinese Semiotic Studies,"21989613, 21989605"
21733,Commentationes Mathematicae Universitatis Carolinae,"00102628, 12137243"
21734,Complex Systems and Complexity Science,16723813
21735,Composites Theory and Practice,"20846096, 2299128X"
21736,Croatian and Comparative Public Administration,"18480357, 18492150"
21737,Dead Sea Discoveries,"09290761, 15685179"
21738,European Data Protection Law Review,"2364284X, 23642831"
21739,European History Quarterly,"14617110, 02656914"
21740,European Journal of Comparative Law and Governance,"22134506, 22134514"
21741,IEEE Potentials,2786648
21742,Indian Journal of Social Psychiatry,"09719962, 24548316"
21743,"Informatyka, Automatyka, Pomiary w Gospodarce i Ochronie Srodowiska","23916761, 20830157"
21744,International Electronic Journal of Environmental Education,21460329
21745,"International Journal of Body, Mind and Culture",23455802
21746,International Journal of Childbirth,"21565295, 21565287"
21747,International Journal of Cloud Computing,"20439997, 20439989"
21748,International Journal of Cuban Studies,"17563461, 1756347X"
21749,"International Journal of Data Mining, Modelling and Management","17591163, 17591171"
21750,International Journal of Reliability and Safety,"1479389X, 14793903"
21751,Investigacion en Educacion Medica,"20075057, 2007865X"
21752,Journal of Anglican Studies,"17455278, 17403553"
21753,Journal of Biostatistics and Epidemiology,"23834196, 2383420X"
21754,Journal of Computational Methods in Sciences and Engineering,14727978
21755,"Journal of Educational, Cultural and Psychological Studies","20377924, 20377932"
21756,Journal of English and Germanic Philology,3636941
21757,Journal of Greek Linguistics,15665844
21758,Journal of Indonesian Islam,"23556994, 19786301"
21759,Journal of Integrated Science and Technology,23214635
21760,Journal of Nursing,0047262X
21761,Journal of Osseointegration,"20364121, 2036413X"
21762,Lasers in Engineering,"1029029X, 08981507"
21763,Luso-Brazilian Review,"15489957, 00247413"
21764,Medijske Studije,"18479758, 18485030"
21765,Medycyna Weterynaryjna,258628
21766,Nowotwory,0029540X
21767,NPG Neurologie - Psychiatrie - Geriatrie,16274830
21768,Pesquisas em Geociencias,"18079806, 15182398"
21769,Przeglad Elektrotechniczny,332097
21770,Rassegna Italiana di Sociologia,4860349
21771,Rational Pharmacotherapy in Cardiology,"18196446, 22253653"
21772,Revista Fitotecnia Mexicana,1877380
21773,Revista Habanera de Ciencias Medicas,1729519X
21774,RILCE. Revista de Filologia Hispanica,"21740917, 02132370"
21775,Shedet,"25369954, 23568704"
21776,Skinmed,15409740
21777,"Sociology of Crime, Law, and Deviance",15216136
21778,South Asian Review,"02759527, 25739476"
21779,Studia Litterarum,"25004247, 25418564"
21780,Terapevticheskii Arkhiv,"23095342, 00403660"
21781,Territorios,"01238418, 22157484"
21782,Thai Journal of Veterinary Medicine,1256491
21783,Theoretical and Applied Mechanics,"14505584, 24060925"
21784,Tidsskrift for den Norske Laegeforening,"00292001, 08077096"
21785,Turkish Journal of Engineering,25871366
21786,Urologiia,17282985
21787,Vibrations in Physical Systems,8606897
21788,Voprosy Detskoi Dietologii,"24149519, 17275784"
21789,Zbornik Slovenskeho Narodneho Muzea Archeologia,13366637
21790,Zhonghua kou qiang yi xue za zhi = Zhonghua kouqiang yixue zazhi = Chinese journal of stomatology,10020098
21791,Acta Dermatovenerologica Croatica,1330027X
21792,African Human Mobility Review,"24107972, 24116955"
21793,American Entomologist,"21559902, 10462821"
21794,Anesthesia Progress,33006
21795,Archaeological Reports,5706084
